msno,churn_proba,risk_tier,rank
ZEAXZCyddKMd/zjZ/ugiIFWQxpoeM6s8zwa7wmSX7XY=,0.999819,high,80
LF4PUVeN/3D+1Rvdyrt1JkRIWYaBCt4bAzyIqE99dPo=,0.999819,high,81
4sjjHa+/+iAvSebIBNuaDvn7TjwM11yYDp8CoH9W1ng=,0.999818,high,82
0uXDO+gI+CVfpMk/vuKvdVF+ntaAtSzOjLfyE56u9EY=,0.999818,high,83
iJFMjSCMfBY7H5kh+L2rdpdicXrdt2RRBwglQ8BbWUM=,0.999817,high,84
WoIio3x9psXE5OK1iQ6LWgi5W0B16IM3J+xm1rCFN6U=,0.999817,high,85
AOvoVi9EahPNoqpy7VgJocG0s9uM2eK7Dw/DOzzUq80=,0.999816,high,86
oMECEU07r5P6ND9mayVJIVTI9RUixz8YVvaivaDYWvI=,0.999815,high,87
sZe1ZO2+b2EmnP3pBExxhaQdyfObp1kKlTlcQxolQuc=,0.999814,high,88
Jv84QwIZPZvvu9NyiRy6XEz4XbpVZRylfQoNPpiwqI4=,0.999814,high,89
rreR5kTohMZfasLoJ7stKiG433vUNTMUOPt6ywl2KyU=,0.999814,high,90
WSnSZrV0Yep08XbaAgQcUPngxxA+kpqpEJxtRIfqZm0=,0.999813,high,91
Qed36yXWt9xmb/rzQoj4LEbnn+gVeR2ndvsNNYJUckw=,0.999813,high,92
Bi3CB+PBw6y+SsJrJV/EaYb3+y6alkdz1dPu7bGM9qU=,0.999812,high,93
E6dN9cKJ0llWvQkJQdMPNPoxeu7kKb0lhhflKzXdDKE=,0.999812,high,94
aw1lqrbv9LUzgzl+Sx5Lo06RNYMVaBHmDGRkx5RBXDI=,0.999812,high,95
xpem7y1f4M6QkO0tBCc0NblgncAoyU8gqubBgOQXRdo=,0.99981,high,96
JG6SL8ktDZmfysdIFQKFX7V8bJ6f/qdo+c7Cd1KzMCo=,0.99981,high,97
coVwapKCGDLhaKAiXdtdOQqMZJZhue9sFc69wN2K3HE=,0.999807,high,98
wQIVOwGIMLA9t22ec4WE5AkU2Wbtqzt/WHsZFtTzAMU=,0.999805,high,99
xYD1rastn8lFHttFC5Ln5HqiEBCzNv6tNSPG/7ksq4o=,0.999805,high,100
CUjW6UdTfRK/7TKWAGiU+4801CNNJxdOZuRY6JZ1NOg=,0.999805,high,101
vWnFZ2lqHFti3noSSed1hp32BUuHmqcexTnAblQ9wOA=,0.999805,high,102
1iT84CBfGsAX9BUho5u9gmQaQFMRATPccDDYmWV/UCc=,0.999803,high,103
DnoTk15PyC3Qi8pMN1Zl2G4AzufM4/YqpaSQGV6u5qY=,0.999803,high,104
6CgVx+i0kEdjamqZBtEBkOR7zKWzJheTJLRONHNZD8w=,0.999803,high,105
qp1YQlRn71c3EKw/mAgHV+scVLzx/mqSu/8FSElgleE=,0.999801,high,106
4oymvCSD/ZLYeeqSFyRmxeqMDgeiGarZx3pgqvEUBLI=,0.999801,high,107
qwBvpERJoX776u5epFStzIkR0Na3HyYccoxEj1hSLJg=,0.999801,high,108
gJxMI/FxcCnqkuy9u4Uj4nmCESR6dnoz+xSrbguuLGQ=,0.9998,high,109
zaQKjgKMaIqh8m/D/b15SA00ZIt3waVWP9QaecnIGbY=,0.999798,high,110
0Vr00ZmZrsRiz6OhK7PKclVao4GthR/tT7FjzZVf4lQ=,0.999797,high,111
oow94pp0UxMYxYM26YiROiSHEOtiALeCz6H5GLjmc4g=,0.999797,high,112
X/FrcxCYjc+QPG5q6M1CSQ55pE29nANMw98TN5Ccdgk=,0.999797,high,113
ZOfAjwDoMjsiBvOyXPEEOzicbnoiHD+Q3ZDw02tjaIA=,0.999796,high,114
/0McS1dfiWO3q6VA4T5UQrksXuVHHzTFyLuYsAfDtlA=,0.999796,high,115
c2ksu6ikyC4yb2tzPv5pFyhJr8y0mVOLOvF4g+EbfTQ=,0.999795,high,116
nzQnudAj+Q9YvGOCbFAcwhsLtKuyr911XjaXdgOzINc=,0.999795,high,117
FLmDjlRvwyeYUuDcl8vAtTZ85vEikG8LtV/Vgmosd6g=,0.999794,high,118
rKXk+fV7CXxfQ4rj1aXIa5A8T/6TuVRBTL42ULxoxWU=,0.999791,high,119
jaTSAyS/x+F3+GMyMK+IW60DOhNhGhF7Nr/GvQVbc9A=,0.99979,high,120
v4INpIDxJgH5wBVLnIB2Pcju02Oy6DD+ta3K+6WXo5Y=,0.999789,high,121
S8OnM6ZIaQxYhtJD1INB8sqdQTAciaKs3Norf7gjpuA=,0.999789,high,122
IjmUNEnCuFyXudcPlA0Oj0d/W3E2R1b7FDDhRPZ8GkA=,0.999787,high,123
jtz9XvRVtsMc5+mpGAlEK6+Ns5FA+lxYKFWev4bREvA=,0.999786,high,124
90nEMqjCuKAXIq+ryVwCIclNn94/P48YBxBGvfworFo=,0.999783,high,125
s8brG9wIJlO9GZH5IcBLVrnbQgahX6+yddG+Q3aHt/c=,0.999783,high,126
4VrssL8AkQVey4InX2yjz8PtK7zo8VMkhq8/IfDULlY=,0.999782,high,127
aCPKYICL7eMztIyJO6iLWu4ZGTT3wED8//qSBLujeoI=,0.999782,high,128
x3vUvrUxl+hLNiqZb/5xnUkTHlL2LDajlUH1fLTm9/g=,0.999781,high,129
FsoS90LB6iSZH1krfhXk7sA/0iKhICWjdJdOPfAHvZ0=,0.99978,high,130
5A9elfTFAHD48C+9zAlLbyrQR1OTGev1pDPcb3qIuCI=,0.99978,high,131
QPcGLtJdlZsGjEzG3qiL0awAYgl5hR0qAke2P7kFAyI=,0.999779,high,132
p/S2UK3sYOCW754a7ndGDujTIjg4bgGtHrKD2tXdTNw=,0.999779,high,133
mWcwEmGj6IOy8WlcNZv12pJx1GIqywmy0HpsFsDal84=,0.999776,high,134
TbZHOoqP18r/vekO2Wq/J1JvdFpk7FAhjI1phjk5z2A=,0.999775,high,135
4lLiq1Ivfb1xZWAkaCbsjD/F75P6Ab/C8KD5pwGFWXo=,0.999775,high,136
0RsBv/1Is7oOb/SSUC1mr9ki5IaG1elvIymB11TcZWM=,0.999773,high,137
b0rRlFVh9b8R0V1lHWk+WTDI1Z1VdJYWx0cnRW0z8hc=,0.999773,high,138
BE2SGocYDYFcePcbXP738OwnJmMSVJlpJAjdLnhnLKo=,0.999772,high,139
NoI3EftdMsqjn/ONpN4zNClSkjyOenTGlw4BaAJN9XM=,0.999772,high,140
Wu75w7OyQ7BkiqAC9pYarXRCcAeDubiUmZgkaRj20dA=,0.999772,high,141
H1uTbz9seQAE4DnRYWwKkgzysmfaTLKXJpwYoRAYjHY=,0.999772,high,142
us14tPAvj4zP0WPZeBeIO8RQ3DnAERncoKkhRJaxjvE=,0.999771,high,143
uWlWNYVxWhrkrxM1K/N0OlNfAJhuB7G0wPhySRGz6yI=,0.999771,high,144
eGZ0LCf/LHuWjwhm0+pdUVpHDqBIUu/qHDqKqg8MfNI=,0.999771,high,145
zEQTFG9LF3zWPMST5j4gZezZzmLDVHR2zkWIJmqhy1w=,0.999771,high,146
ew4FF76xk0V3U5JQu2mVXEOzUg54PEQwHtvv5+pNC1Y=,0.999771,high,147
HN7QdXt7DbAwp4KeCkwdzeaaklw7s/j4B/Q9Mb8tCZI=,0.999768,high,148
1A33wA/xIon/zqORtBwZC9v3phX5VvurYtxDDMdF7Iw=,0.999767,high,149
0oLjgck/ohchNwxdjxPJYQ2CIVrLOtMKgfEvZzDSZOo=,0.999767,high,150
4jOtMQXd+dfnaaycif/cu/hNwXg9GjDaj0nQbUjEqd4=,0.999767,high,151
Mjp5uPtRQPFUiMfw+rWecb2EGoo69dc6t1gSBRgz60c=,0.999766,high,152
NL5ZtxvuKu5WzmRk4N+NslJXrC8Dd9jxRnOs7BoUTq4=,0.999765,high,153
f21YxuVamwcnQp6wixfCWoqCNHjxyYHJu3N3FlO9Jqc=,0.999765,high,154
xng8dwHiBfwm9PAA/xCJRrvPVHkpbqgqkjDg7LJpk6U=,0.999764,high,155
Tw+4nBDUTnKLIO/OsXsoL78CE/BC+N+gsCpidtAE+x4=,0.999763,high,156
E80jpKIjv+Pkrgnt3iaG2vFqSc2pjPf1BGYBFDLyYn8=,0.999762,high,157
3Pq+ymL0KJWXm1CWd5llja5g44Dx+U9EFzzLG8cW+HA=,0.999761,high,158
nvFrvkhmKG6RCA0fNanT2HtSLzbsGqwX/oxcm0DzLaU=,0.99976,high,159
jbtNghDZG++J0EBh8x6vuuX9JUXYxu3v7+Dwty+jTog=,0.99976,high,160
Hzkq1dRabAhgz4BT/rTwXFtYiUCGoMGFYZj0jzmWZvg=,0.999759,high,161
/8qn2ar0qbRBsI8b4dotzEfF1h56vhhOdjExwj+kZp0=,0.999758,high,162
n4m02BG3ZxnD3Lkxdzx5Jsa1JN3LTPBdu9ChKHmXo7Q=,0.999757,high,163
5NGY41v4pviHQDHIOwXQ2pio7sLk46HhYPqt4Zl0US0=,0.999753,high,164
0/xjOr9WCKGSIA2nwa0DfMi27j+lZoMwVew6lihgErA=,0.999749,high,165
zU/vTOfiuTTske8F8slAcrFXm3sKRhs+ZJsr8ZlkxLc=,0.999749,high,166
ViXUp6Ts5xmb1A3vgKx8Kfq1ly03UtDSUVmOds/+zS8=,0.999749,high,167
fRgv7FH/VPDi9wJTCP7/UOy1KyYx8D8+C5n0/ZTl7v4=,0.999749,high,168
zFFIY+HPBYZb1lTQvK6qw30G4nTEVXXtzkiU4SCkdFg=,0.999749,high,169
egLwPiTvtRPmGERmXEGUmE0gUK6gVW/bLjLp8tPJu+Y=,0.999748,high,170
jhTjtjXKitoirqvbATBxB5yBuRtZYvl7gHiBr+KaWfI=,0.999747,high,171
//PUaspRvanXR0BfBNHAWgcnewZPS3CZX8bgXqpuGbQ=,0.999746,high,172
Epe7VWhmb4+SGjTuwfHPRmD6SoESlnxvzPmQZlVVHyY=,0.999746,high,173
I6qPu0cNZntsZFXe6IekppizW0yMoqXURlh4eFt8OEA=,0.999745,high,174
YdXNdGjW3bQZR7MBL5JgVtqPF5Onko3+c+EZXYtDELQ=,0.999744,high,175
EEL2Mbx+6yNDrk50VeLbnDfxjqEHOlNILmOihCDot5U=,0.999743,high,176
4mKzyUWfEtB4utTfYttTvjGs/h2Mh5X6sLOqfa+/A/A=,0.999742,high,177
FFgiH/XjJ6loXB0qyaijCB1f+OavjlwyEdWms2glLB0=,0.999742,high,178
lQJWh1o2mZRmeSOdGeVqd+mrZivay/sjvXyyxHl7qXE=,0.999741,high,179
HoWlHsC4tb0BBwhqeY+3xNdTi4PpdQ70Cjet5Kn6zn4=,0.999741,high,180
U87Tr+d2V9+ZjYYz1AeBYVWAB4KSFHqzZFLAJhEvJ3o=,0.99974,high,181
26XxuhW6H3dNGhFV7XowYmhntyI84130OeRRJy9gbUw=,0.999739,high,182
diS2c9nF2TqTWy5gUNjSYhJ8ilpuzY2IctdmbHZzE3U=,0.999739,high,183
ucK1LoImCWpUGAv9vqOhSQBpSz/zJ4eJ3FPU1YZgeQo=,0.999737,high,184
iujxOlDmzv8nsaqxPDgGXvF9DEdwYT3cgK8cLoWdEUY=,0.999737,high,185
pS1X5XteRxguJ1FUL7N6anZFar4yGtzSw5W+Khmbewo=,0.999736,high,186
cz6Y5s8TaZGlCHLTqYBcl8bCf2cRXb9S+jQiE/X4khQ=,0.999735,high,187
wGdYMD28UgjlqGb2UQUx1yyfnK/5pF/UuTK9YSmHyyM=,0.999734,high,188
J/pG6DO/ckQLhHoMXCX0QcNn+wAlF+7O62B4tn24LWQ=,0.999731,high,189
/eb41gNXH3MtkTjopYbsoyCn2IqTWSNUlP8GgMbnssM=,0.999731,high,190
9KwZnlkHiKw5M+/Ck3nQB2TDcHhuLx6TevQIZgYb/m8=,0.999731,high,191
a54VlWKoYszC/0rIpvZG/zBb/yUqawCFGduaRTPy8Iw=,0.99973,high,192
YI0ryhHWui9Mv97DSK2sdjvQCJRJfoOhDjAid+qwz5k=,0.999728,high,193
KbA+vqqBusJGmkUurs0+YRRNvWLDNfafV+NEQ/8lbxc=,0.999727,high,194
SFM0LSgceKAhatbo7xY569r17jowwuGQZpdkoQhK/Mg=,0.999726,high,195
n36KLWbvR6VExbqSOvDw3xbSDYJp7BYAUKNBVuqME2k=,0.999726,high,196
EtpFLQ1un6AZzEMKBr4P2U3VknkXb2X2PJ/KbflsFR8=,0.999726,high,197
EGoJpelcJHgsHKEF+0c4oQmahL1nV3ZEFzbn+g6QxKU=,0.999725,high,198
8eJATbT5rktN3r645MbiwiCrOy1Ht6/LEYa5Y0qIPvU=,0.999724,high,199
VSC8ZCByaGnPZDcfTp48Zakdj/zyknPSIFEhQDL9Lzs=,0.999724,high,200
RFbj9ccoK9MWZ3NEf/GO12wXBUEcmHzfF9yhWSGUoC0=,0.999724,high,201
fellzndOdpjqzEMZEQSVS2qHqhOw9MJi3OevXbA3XMM=,0.999723,high,202
rrYuhwGE9WG3ZYmCO9qBQuKaxFQFSc1lPpb0PMgZGi0=,0.999723,high,203
3xThVwiH24VkuIlSQGpRk0ynQT2pMHD2U60qEglYr9E=,0.999723,high,204
O1688zfdHt+r13efZhRflyHMOrOZFfeCY0ef3QLGAXQ=,0.999723,high,205
hSVhhff9ymPORj0wflWBAOqTZdokgTaOfn0ut1ob9A8=,0.99972,high,206
rXtoMDAJCE7Xr5KjZb+tTl37QoUUUKcVmkh/faL5unI=,0.99972,high,207
Tp4cI/LtZPQ94zFmTznLrVSMtkkux1Nbgah4YjlF830=,0.99972,high,208
qHeswmh0OPX0OsJ3aEqB+o5LljlvKOmealtVbHgNcok=,0.99972,high,209
wQtZ28wNEiAFXkfvR1D1+HNehDzbX4wjfbHLWQatN9g=,0.999718,high,210
pKCwHmQCSUQIQxIcKuw11dR4OuJm2HH2A62bCH5NWUg=,0.999718,high,211
yl30+p5Je+s8/4AxoY0HAOV7Iu3rOP+Oj5dqS8dpg+M=,0.999718,high,212
ZSPa3X0EbHngfBRPr6YSxQA3rQDlJmdW/9w3Oyo7z2Q=,0.999718,high,213
r0do/TmE2FTYXCFMqnZp0GB+VI8rfasc08g7s/+DFHk=,0.999718,high,214
UmkKV3Q223MT2ZZWJqt3VYeX1/1AO1yfIzJmL+P5Ooc=,0.999717,high,215
f/ACWt2zcDT0ED7V8wa0ZssjW0Q6oX/+CyIoPYXuPPU=,0.999717,high,216
hcEu6Q60ZAdCEKV+fQ3xqodv9j93xXKC4cDgFR7+JiA=,0.999716,high,217
h0dDMMFAG22ofgcwSc/ADoE4R5bOIZ10+M67D5aaPZk=,0.999715,high,218
JfdKpbYhx5yij/vlcHurUMsm69ONtMflUBIvW5yKpWw=,0.999714,high,219
j1cze1c/K3f+OJE7Aa3ytekiWiX7WgjLLAUUYO3zFGo=,0.999714,high,220
7Wkt5hlilmNgb5Uzn4TCVTCO+yp3NtkFbX3JxW179Zk=,0.999714,high,221
2LOsKj7GvNlZspfrD+RzkBJqOuOSi82BwFSH02nYrlE=,0.999713,high,222
wIvyr9w2mnQTsrwygyq0dfSTB5YsJU9NIZPe7uWpJ5o=,0.999713,high,223
XCKkhjRj9ZKrY22CYZW6EobN3sugYX+NssEDcbQ/9vk=,0.999713,high,224
MklxfVa0ORkiijoySMEfYm0QW2DIMzq/92fOuI1G9h0=,0.999713,high,225
l7RmzqJevW/0jSaK4u6xWbVj/GwCQLBoM++TCImYHqE=,0.999713,high,226
vAHRV3lfjLgeLazwmgWuMsTnPRasxOuVD7DVxRsAgMM=,0.999713,high,227
a3EnfjeA6NZva58lPCjiCUxdrZa3+PdQToRcMpBsE1o=,0.999712,high,228
s2s7061CxPHnIBZFRpFD3Rm0oDOarhtWyG78pB18gEA=,0.999712,high,229
+6joJTJrn/RmRyrW1zaFwLfUimgzJ/koNq1WPIy2aeg=,0.999711,high,230
uSrlpI8UMGqm2wb6OP4Dbnn5B3wemU7bqBf7PGFfD0Q=,0.999711,high,231
cd4QIXmeQr5iub/aV9SPwp9XrJcoHzAnxSz+CmL0FL4=,0.999711,high,232
9vEvKRKbrdf/szEWLl7zHpHh2eHi86cbqTVh/N2QWNg=,0.99971,high,233
I6neNbCz7j59e4Y3YfPi4xX+sZS9D6IjZaIIpjIX3zI=,0.99971,high,234
8yN5QbXW/qfGjL7/KjD5OYsCSn1TFXcA3+xrEFcSM40=,0.99971,high,235
xv2B5/TYWAjzVejIuuQU+8nGUMbKiCNxbm8UtKkq0UA=,0.999709,high,236
4X++FzK8EGyG1vqt0+CJ5w0ATnSP3Lw4MUsOhlT/4l8=,0.999708,high,237
3tEpZ+UdtmIETds7EPlfIuQzj0JLy5FNEZKqgBwTZgQ=,0.999708,high,238
g8wiok3XebXNyeGRo9OcGCoTxZ899jskwkgeUOsDHvc=,0.999707,high,239
zGrIe74ZrGOxAS3RyIJfe0NvG6CkuUIi2efO09ZMGJY=,0.999707,high,240
zfD4poDIMtA5kFOp8nR/Tci1BpPYtxCOeRHYMJcw/aM=,0.999706,high,241
WTSEXMgaExU6d/+qzF4ypW9IoS/eM8J8r1j/HbPh43U=,0.999706,high,242
Busi55Rr5iQK0NI8yjvAdBjDs1scT6FlJ+FPRbuoUJI=,0.999706,high,243
lXCKr/o11nJCUG4ErcAUwgGaThuBP6BXyX1HkGMFVOU=,0.999703,high,244
fzRdXzJ3Y65zqSHBvTtCsKOtghcBrhoQDiUpULMtr5I=,0.999702,high,245
Aku2uMB9JYKf9GlMLOedprfaQJEYrz2ljn97W+CbS+c=,0.999701,high,246
cEpv5BTujRZimLeOaCQ/sK/0Ftwkgif4alD+nJOaN8Q=,0.9997,high,247
+vNuam0HIN72D5nFkaDLTuDxL8hdsjzID7/3l0Klfh0=,0.999698,high,248
3TwB1is3vBQEYwXLOh+Dg4Ha/ao/tO56Tl/sTA/104s=,0.999698,high,249
GvyyyLnwA9t5kfx+czX/RIhBKiuJrPFjcewPxlYgguY=,0.999698,high,250
bNG3rt8I6j4VCF1acubrf1XOn1mzuXeR+jnukfXZHbU=,0.999698,high,251
a5dA4mPaBeWpQjKRa5kCmRlnQGF+B8Ss0y0XIVIVp/s=,0.999697,high,252
gNlvYXCrN+oee78q7Oljpe8f8z2kkY93DeRPKPAENsk=,0.999697,high,253
WUXoN/hwjFhLva9HxQBkZ8izf8V1o9JWV4SEkIsxJPg=,0.999695,high,254
W9EXaPAEfnn8rBwDFM+wFiJi/lBOm3cA9u3lCJnVfhE=,0.999695,high,255
TfgGOZ2e2yr3NHCaJ9HGHtGQZWj/4Dp8Q4KNIMxuA/g=,0.999694,high,256
CKi/8ztdVxfAETHtiYv40u5oX5en2QuYOx2zKJSGU50=,0.999694,high,257
QfIhMgl/SzsqU65NcWSpyMILsbXvqXMv+cqqj6+RzDA=,0.999693,high,258
duDqyheeOKZuWB/nOOZHIeHFt2hUuFCdd4kjaPb3xjA=,0.999693,high,259
+w0pdN48/gWA22LFznPjXuUQnXqLfjrGHQ/ubboZ0Mk=,0.999692,high,260
QVYE8DihSMnkMQ8AiExmptrQITgecwEqPGsOUKIEGmQ=,0.999692,high,261
B1Vq+YsAnf3ggKlRgeC1+b4ZWS3on7qgwpb5KXoMXCI=,0.999691,high,262
l/BM+M5CZRnVFQhLPqvNLE75ENdifrTplBRMCLVnCaU=,0.99969,high,263
COjqRX8neymhEES8G2B6LwuW1JrpPTz2ywmVCGq/ghA=,0.99969,high,264
ogsUkq/w6M+5ajterrnIUkQVgUCibTyEAd/+j+8zN8c=,0.999689,high,265
h5h300hZLIX0HhNeg+V+GEaR1QtDeAxk2VrDkOx6aCk=,0.999689,high,266
H2X8AhgCMq8kpZVcZiSzURJQC5gPktYHUsXpvLKqlbo=,0.999688,high,267
